epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.306,2.46624,3.2459,2.50482,0.18699,0.40844,0.20983,0.07492,2.03651,2.97097,2.41808,0.000554389,0.000554389,0.000554389
2,896.374,1.83069,2.1447,1.95595,0.50442,0.46294,0.43207,0.18284,1.92666,2.05714,2.16442,0.00109907,0.00109907,0.00109907
3,1365.74,1.73132,1.85395,1.83686,0.43323,0.50856,0.42602,0.18631,2.04023,2.15995,2.28887,0.00163274,0.00163274,0.00163274
4,1833.65,1.63021,1.69616,1.7396,0.59617,0.61082,0.58149,0.25248,1.88596,2.03903,2.14157,0.00161749,0.00161749,0.00161749
5,2299.84,1.58485,1.62149,1.709,0.54114,0.61315,0.60556,0.28779,1.72148,1.79851,1.95764,0.00160099,0.00160099,0.00160099
6,2769.46,1.5349,1.52135,1.65758,0.65622,0.63692,0.62727,0.29887,1.79169,1.60063,2.12702,0.00158448,0.00158448,0.00158448
7,3218.93,1.52661,1.50921,1.6649,0.65628,0.61135,0.65535,0.31588,1.69337,1.79418,1.94072,0.00156798,0.00156798,0.00156798
8,3682.15,1.4803,1.47555,1.62637,0.67597,0.60942,0.66805,0.32508,1.70966,1.56502,1.97835,0.00155148,0.00155148,0.00155148
9,4135.58,1.46762,1.44509,1.61585,0.6268,0.65238,0.6308,0.3084,1.65009,1.61461,1.97805,0.00153497,0.00153497,0.00153497
10,4589.11,1.45568,1.40962,1.59491,0.75441,0.65978,0.72936,0.3812,1.66295,1.37233,1.87818,0.00151847,0.00151847,0.00151847
11,5042.84,1.44098,1.36554,1.5965,0.69481,0.70225,0.72222,0.37185,1.66977,1.40131,1.87426,0.00150197,0.00150197,0.00150197
12,5496.78,1.42209,1.36663,1.5835,0.67939,0.70372,0.71389,0.39112,1.63467,1.40928,1.87332,0.00148546,0.00148546,0.00148546
13,5948.96,1.40877,1.35316,1.57151,0.7581,0.70885,0.75922,0.41187,1.64395,1.38205,1.87311,0.00146896,0.00146896,0.00146896
